카테고리,기능명,HTTP 메서드,엔드포인트,구현 - BE,연동 - FE,상세 설명,우선순위,이름
2. 사용자 설정,복용 기록 저장,POST,/api/user/medications,미구현,미연동,medications_records 테이블에 저장. 약/인슐린 구분 없이 memo 자유 기술,🟡 Medium,
2. 사용자 설정,복용 기록 조회,GET,/api/user/medications?range=7d,미구현,미연동,기간별 복용 기록 조회,🟡 Medium,
3. CGM 연동,CGM BLE 연결 및 수신,로컬 SDK,화이바이오메드 BLE SDK,완료,완료,BLE 5.0. 끊김 시 자동 재연결. 수신 주기마다 UI 갱신,🔴 Highest,
3. CGM 연동,CGM 데이터 서버 동기화,POST,/api/cgm/sync,미구현,미연동,앱 → BE. glucose_records 테이블에 시계열 INSERT. TLS 1.2+ 암호화. 누락 구간 공백 표시,🔴 Highest,
3. CGM 연동,CGM 패턴 학습,POST,/api/cgm/pattern-learn,사용 안 함,미연동,식후 상승/하강 패턴 개인화 학습. 이상치 제거 기준 업데이트,🟠 High,
3. CGM 연동,Samsung Health 연동,POST,/api/health/sync,미구현,미연동,"운동(exercise_records), 수면(sleep_records) 수신. 타임라인 핀 표시",🟡 Medium,
3. CGM 연동,HbA1c 추정 조회,GET,/api/glucose-records/hba1c,미구현,미연동,"최근 90일 평균혈당으로 eA1c 추정. 공식: (avg_90d + 46.7) / 28.7. 90일 데이터 부족 시 hba1c_manual fallback. Res: {estimated_hba1c, avg_glucose_90d, diabetes_group, source: estimated|manual, data_days}",🔴 Highest,HbA1c 추정 조회
3. CGM 연동,혈당 기간 조회,GET,/api/glucose-records,미구현,미연동,"?from=&to= 파라미터. Res: {content[], total_count}",🔴 Highest,혈당 기간 조회
3. CGM 연동,혈당 수신 저장,POST,/api/glucose-records,미구현,미연동,"Req: {value: 20-600 mg/dL, measured_at: KST LocalDateTime}. Res: 201 {id, value, measured_at}. 멱등: (user_id, measured_at) UNIQUE. 부수효과: GlucoseReceivedEvent 발행 → AlertTriggerService",🔴 Highest,혈당 수신 저장
4. 대시보드,실시간 혈당 표시,로컬,BLE 로컬 수신,미구현,미연동,BLE 수신 주기마다 UI 갱신. 추세 최근 15분 기준 4단계,🔴 Highest,
4. 대시보드,타임라인 통합 조회,GET,/api/timeline?range={range},완료,미연동,"혈당 시계열 + 식사/운동/수면 이벤트 핀을 한 번에 반환. range={1d|7d|30d}, 기본 1d. JWT에서 userId 추출. 4쿼리 CompletableFuture 병렬 실행. 응답: {range, from, to, glucosePoints[], meals[], exercises[], sleeps[]}",🔴 Highest,
4. 대시보드,대시보드 요약 지표,GET,/api/stats/summary?range=1d,미구현,미연동,"실시간 대시보드용 요약(평균, TIR, 최고/최저, 변동폭)",🔴 Highest,
4. 대시보드,디지털 트윈 아바타 상태 조회,GET,/api/avatar/state,미구현,미연동,현재 혈당 기반 아바타 표정·혈관색·애니메이션 매핑. FE 렌더링용,🟠 High,
4. 대시보드,혈당 패턴 비교 조회,GET,/api/stats/compare?mode={daily|weekly}&base={date}&compare={date},미구현,미연동,기준일/비교일의 혈당 곡선·평균·TIR 동시 반환. delta로 증감 강조,🟡 Medium,
4. 대시보드,일별 헬스 요약 조회,GET,/api/health/daily-summary,완료,미연동,?from=&to= 기간 파라미터. daily_health_summaries 기간 조회,🟢 Low,일별 헬스 요약 조회
4. 대시보드,헬스 스냅샷 배치 저장,POST,/api/health/snapshots,완료,미연동,5분 배치. steps_total·칼로리·심박수 BATCH INSERT. health_snapshots 테이블,🟢 Low,헬스 스냅샷 배치 저장
4. 대시보드,일별 헬스 요약 저장,POST,/api/health/daily-summary,완료,미연동,"Samsung Health SDK → BE. Req: {date, steps, caloriesBurned, sleepMinutes, avgHeartRate}. UPSERT (date 기준). daily_health_summaries 테이블",🟢 Low,일별 헬스 요약 저장
5. AI 음식 인식 (FastAPI),음식 사진 인식 → 공공데이터 자동 연동,POST,/ai/food/recognize-and-fetch,미구현,미연동,사진 → CV 모델 인식 → 식품안전처 API 자동 조회 → 영양 정보 반환 (원스텝). 사용 시나리오: 식사 기록 흐름 (예측 곡선 불필요),🔴 Highest,
5. AI 음식 인식 (FastAPI),음식 사진 인식 (CV 모델),POST,/ai/food/recognize,미구현,미연동,Camera2 API 촬영 → FastAPI CV 모델. confidence 0.6 미만 시 확인 UI. 실패 시 텍스트 입력 fallback,🔴 Highest,
5. AI 음식 인식 (FastAPI),음식명으로 영양 정보 조회,GET,/api/food/search?q={keyword},완료,미연동,공공데이터포털 식품영양성분 API(FoodNtrCpntDbInfo02) 호출 후 foods 캐싱 (30일 TTL). 캐시 우선 조회. 응답: 영양표시 9대 항목 + 식이섬유 + category(food_lv3_nm),🔴 Highest,
5. AI 음식 인식 (FastAPI),커스텀 음식 등록,POST,/api/foods,미구현,미연동,"텍스트 검색 미스 시 사용자가 음식명만으로 등록. is_customized=true, 영양 컬럼 모두 NULL 저장. 반환된 food_id는 식사 기록 등 다른 플로우에서 참조 가능. ⚠️ 영양정보 없으므로 예측 API에 사용 불가.",🔴 Highest,
6. 커스텀 키보드 MCP,키보드 앱 혈당 수치 조회,GET,/api/mcp/keyboard/glucose,미구현,미연동,커스텀 키보드가 MCP 통해 현재 혈당 폴링. 키보드 상단 상태바에 표시,🟠 High,
6. 커스텀 키보드 MCP,키보드 음식 키워드 감지 → 위험도 반환,POST,/api/mcp/keyboard/food-risk,미구현,미연동,음식명 입력 감지 시 MCP 호출. 현재 혈당 기준 위험도 계산,🟠 High,
6. 커스텀 키보드 MCP,키보드 인라인 배너 알림,POST,/api/mcp/keyboard/banner,미구현,미연동,TYPE_APPLICATION_OVERLAY 오버레이. 현재 혈당 + 음식명 + 위험문구. 3초 자동 소멸,🟠 High,
6. 커스텀 키보드 MCP,AccessibilityService 음식 키워드 탐지,로컬,Android AccessibilityService,미구현,미연동,허용 앱: 카카오톡·배달의민족. 텍스트 노드 읽기 → 키워드 DB 매칭 → 즉시 폐기,🟢 Low,
7. 프리밀 시뮬레이터,식전 혈당 곡선 예측,POST,/api/predict/glucose,완료,미연동,음식 영양 데이터 + 유저 프로필(JWT) → AI 예측 모델 호출 → 식후 2시간 혈당 곡선(5분 간격 25포인트) 반환. 현재 generic 모드 고정 (personalized 미구현). 결과는 glucose_predictions 히스토리에 저장,🔴 Highest,
7. 프리밀 시뮬레이터,사진 통합 예측,POST,/api/predict/glucose/from-image,미구현,미연동,multipart 이미지 1장 → BE 내부에서 ① CV 인식 ② foods 조회/식약처 API ③ 예측 모델 호출까지 단일 호출 처리. confidence 미달·인식 실패·영양정보 결측은 Status enum 으로 분기. 인식 음식이 DB·API 모두 미스면 customized=true 로 신규 등록 후 PENDING_NUTRITION 응답,🔴 Highest,
7. 프리밀 시뮬레이터,A/B 비교 모드,POST,/api/predict/glucose/compare,완료,미연동,2개 음식 동시 입력 → 예측 API 병렬 2회 호출. 동일 시간축 곡선 비교. 최고 혈당 차이 강조,🔴 Highest,
7. 프리밀 시뮬레이터,AI 서버 호출,POST,{AI_SERVICE_URL}/inference/glucose,완료,불필요,"AI 모델 추론 요청. BE가 음식 + 유저 데이터를 조합하여 호출. 재시도 3회, 백오프 200/400/800ms, Correlation ID 추적. UserProfile은 외부 DTO라 BigDecimal → floatValue()로 변환",🔴 Highest,
8. 식사 기록 & 성적표,식사 기록 저장,POST,/api/meals,미구현,미연동,"meal_records 테이블에 INSERT, image_storage_key로 S3 사진 연결. memo 선택 입력",🔴 Highest,
8. 식사 기록 & 성적표,식사 기록 날짜별 조회,GET,/api/meals?date=,미구현,미연동,/api/meals/{mealId}/response | 식사 후 2시간 CGM 수집 → meal_glucose_responses 테이블에 baseline/peak/slope 저장. 2회 이상 시 user_food_grades 등급 산출,🟠 High,
8. 식사 기록 & 성적표,음식 성적표 조회,GET,/api/food-grades,미구현,미연동,user_food_grades 조회. grade 5단계 (S/A/B/C/D) avg_slope 기준. 최고혈당/복귀시간은 meal_glucose_responses.peak_glucose_id로 join,🟠 High,
9. AI 주간 리포트,리포트 목록 조회,GET,/api/weekly-reports,미구현,미연동,weekly_reports에 INSERT. 매주 월요일 07:00 자동 생성. 수동 버튼 제공. 동기 생성 정책 (status 컬럼 없음 pdf_key NOT NULL). LLM 요약/제안 포함,🟡 Medium,
9. AI 주간 리포트,주간 리포트 조회,GET,/api/weekly-reports/{id}/pdf,미구현,미연동,평균혈당·TIR(time_in_range)·TAR·TBR·변동폭·LLM요약·개선제안 + GOOD/BAD 음식(weekly_foods),🟡 Medium,
9. AI 주간 리포트,PDF 내보내기,GET,/api/report/{reportId}/pdf,미구현,미연동,A4 1~2장. pdf_key로 S3에서 다운로드. 카카오톡/이메일 공유,🟡 Medium,
10. 알림 & 응급,온디바이스 저혈당 감지,로컬 ML,TFLite (로컬),미구현,미연동,온디바이스 감지 → 알림 1초 이내. 무반응 30초 → 스마트홈 자동 대응,🔴 Highest,
10. 알림 & 응급,SOS 긴급 요청,POST,/api/v1/alerts/sos,완료,미연동,"Req: {latitude, longitude}. Res: 201 {chatMessageId, message}. 부수효과: 1순위 보호자 FCM 즉시 발송(channel=glucose_critical) + chat_messages INSERT (sender=system, messageType=SOS). guardian_notifications INSERT. (alert 도메인 폐기 후 chat_messages로 흡수, endpoint 경로는 호환 유지)",🔴 Highest,SOS 긴급 요청
10. 알림 & 응급,Galaxy Watch 진동 알림,로컬,Wear OS Notification API,미구현,미연동,야간(22:00~07:00) 저혈당 감지 시 진동 강도 상향,🟢 Low,
10. 알림 & 응급,보호자 SOS 수신 확인,POST,/api/v1/guardians/sos/{alertId}/respond,미구현,미연동,보호자 JWT 인증. SOS 수신 확인 시 알림 종결 처리 (선택 구현). 에스컬레이션 중단,🟡 Medium,보호자 SOS 수신 확인
10. 알림 & 응급,[폐기] 알림 목록 조회,GET,/api/v1/alerts,사용 안 함,미연동,⚠️ alerts 도메인 폐기 (chat_messages로 흡수). 대체: GET /api/chat/messages,🟢 Low,
10. 알림 & 응급,[폐기] 알림 읽음 처리,PATCH,/api/v1/alerts/{id}/read,사용 안 함,미연동,⚠️ alerts 도메인 폐기. 대체: PATCH /api/chat/messages/{id}/read,🟢 Low,
10. 알림 & 응급,[폐기] BE→Agent 트리거 webhook,POST,{agent_url}/run,사용 안 함,불필요,⚠️ {agent_url}/run 폐기. 대체: AI 측 POST /agent/trigger (post_meal/wake_up/schedule_followup) + POST /agent/command (사용자 명령),🟢 Low,
11. 스마트홈,스마트홈 자동 대응 실행,POST,/api/smarthome/trigger,미구현,미연동,무반응 30초 후 자동 호출. 조명 빨간 점멸 + 도어락 해제 + SOS 동시 실행,🟢 Low,
11. 스마트홈,스마트 도어락 자동 해제,IoT,도어락 IoT API,미구현,미연동,무반응 시 자동 잠금 해제. 이벤트 타임스탬프 기록. 보호자 앱 푸시. 원격 재잠금 가능,🟢 Low,
11. 스마트홈,Philips Hue 조명 제어,로컬 REST,Hue Bridge Local REST API,미구현,미연동,동일 Wi-Fi 필요. 저혈당 시 빨간색 점멸. 정상 복귀 시 원래 색상 복원. 시연 전용,🟢 Low,
12. AI Agent,사용자 프로필 조회,GET,/api/agent/users/{userId}/profile,완료,불필요,"당뇨 유형·약 복용·목표 혈당 범위 반환. agent 음식 추천 전 사용자 기준값 파악용. 인증: X-Agent-Api-Key. Path: userId. Res 200: {age, gender, diabetesType(NORMAL|T1D|T2D|GESTATIONAL|null), isMedicated, targetLow, targetHigh}",🟢 Low,사용자 프로필 조회
12. AI Agent,최근 혈당 + 식사 경과 조회,GET,/api/agent/users/{userId}/glucose-recent,완료,불필요,"가장 최근 혈당 측정값 + 마지막 식사로부터 경과 분. 위험 영역(>200/<70) 또는 식후 1시간 이내 판단용. 인증: X-Agent-Api-Key. Res 200: {latestMgDl, measuredAt(UTC), lastMealMinAgo} (각 필드 null 가능)",🟢 Low,최근 혈당 조회
12. AI Agent,사용자 음식 등급 조회 ⭐,GET,/api/agent/users/{userId}/food-grades,완료,불필요,"사용자가 먹어본 음식의 혈당 반응 등급. agent 음식 추천 핵심 데이터. 인증: X-Agent-Api-Key. Res 200 (배열): [{foodId, foodName, grade(S|A|B|C|D), avgSlope, mealCount, latestMealImageKey}]. latestMealImageKey는 그 음식의 마지막 식사 사진 S3 키, 없으면 null. (2026-05-08 latestMealImageKey 필드 추가)",🟢 Low,음식 등급 조회 (Agent)
12. AI Agent,최근 식사 기록 조회 ⭐,GET,/api/agent/users/{userId}/recent-meals,완료,불필요,"최근 N일 식사 기록. 메뉴 중복 회피 + 직전 식사 시각 파악용. 인증: X-Agent-Api-Key. Query: ?days=2 (1~14). Res 200 (배열): [{mealId, timestamp(UTC), foodName, carbs, protein, fat, calories, imageStorageKey}]. (2026-05-08 imageStorageKey 필드 추가)",🟢 Low,최근 식사 조회 (Agent)
12. AI Agent,안 먹어본 음식 후보 조회 🆕,GET,/api/agent/users/{userId}/unseen-foods,완료,불필요,"사용자가 등급도 없고 최근 7일 식사 기록도 없는 foods 후보. agent가 신규 추천 1개의 food_id 채울 때 사용. 인증: X-Agent-Api-Key. Query: ?limit=20 (1~50). 정렬: search_count DESC. Res 200 (배열): [{foodId, name, category, kcal, carbsG}]. (2026-05-08 신설)",🟢 Low,unseen 후보 조회
12. AI Agent,Agent 알림/응답 INSERT,POST,/api/agent/notifications,완료,불필요,"AI가 생성한 응답을 chat_messages에 INSERT 후 FCM 푸시. parentChatMessageId NULL이면 push 모드, NOT NULL이면 user command 응답 모드(parent와 thread 형성 + dedup skip). 인증: X-Agent-Api-Key. Body: {userId, alertType(AGENT_*), message(max 500), options[]?, displayTrace?, payload?, parentChatMessageId?}. Res 201: {chatMessageId, sent} | 200: {skipped:true}. (alerts 도메인 폐기 후 alertId → chatMessageId)",🟢 Low,Agent 알림 발송
12. AI Agent,Agent 알림 이력 조회,GET,/api/agent/notifications,완료,불필요,"최근 N시간 알림 목록 반환. 중복 코칭 방지·최근 상태 파악용. 인증: X-Agent-Api-Key. Query: ?user_id&hours (기본 24, 최대 720). Res 200: [{alertId, alertType, message, source(be|agent), createdAt, isRead}]",🟢 Low,Agent 알림 이력
12. AI Agent,Agent 식사 조회 (날짜 단위),GET,/api/agent/meals,완료,불필요,"특정 날짜 식사 목록·영양 정보 반환. 식후 코칭 맥락 구성용. Query: ?user_id&date (YYYY-MM-DD). Res 200: [{mealId, timestamp, foodName, carbs, protein, fat, calories(kcal)}] recorded_at ASC. 해당 날짜 기록 없으면 [] 반환",🟢 Low,식사 기록 조회 (날짜)
12. AI Agent,Agent 수면 데이터 조회,GET,/api/agent/sleep,완료,불필요,"특정 날짜 수면 시간 + 최근 7일 평균 반환. 기상 후 코칭 맥락 구성용. Query: ?user_id&date (YYYY-MM-DD). Res 200: {date, sleepMinutes(해당일 수면 분, 없으면 0), averageSleepMinutes([date-6~date] 7일 평균, 없으면 0)}",🟢 Low,수면 데이터 조회
12. AI Agent,Agent 걸음수 조회,GET,/api/agent/steps,완료,불필요,"지정 시간 윈도우 내 구간 걸음수 반환. 활동량 기반 코칭 맥락 구성용. Query: ?user_id&start&end (ISO 8601). Res 200: {userId, windowSteps(MAX-MIN steps_total), from, to}",🟢 Low,걸음수 조회
12. AI Agent,Agent 시계열 혈당 조회,GET,/api/agent/glucose,완료,불필요,"지정 구간 혈당 측정값을 시간 오름차순으로 반환. 식후 혈당 추세 분석·HIGH/LOW 판단에 활용. Query: ?user_id&start_time&end_time (ISO 8601 LocalDateTime). Res 200: [{timestamp, value(mg/dL)}]. 400: start_time > end_time",🟢 Low,시계열 혈당 조회
12. AI Agent,일별 헬스 요약 upsert,POST,/api/health/daily-summary,완료,완료,"일별 누적값(걸음/칼로리/수면분/평균심박) 덮어쓰기. 1분 폴링마다 호출 가능. Body: {date(ISO LocalDate), steps?, caloriesBurned?, sleepMinutes?, avgHeartRate? — null 필드는 기존값 유지}. Res 200: 갱신된 요약. (user_id, date) PK로 UPDATE 위주 동작.",🟡 Medium,일별 헬스 요약 upsert
12. AI Agent,수면 세션 기록,POST,/api/sleep-sessions,완료,완료,"워치/Samsung Health 수면 세션 저장. INSERT 시 wake_up 트리거 자동 예약(scheduledAt = endedAt+10분) → 폴러 발화 → Agent 기상 코칭. Body: {startedAt, endedAt, source}(ISO-8601). Res 201: {id, startedAt, endedAt, source}. (user_id, started_at) UNIQUE — 중복 호출 시 기존 row 멱등 반환.",🟡 Medium,수면 세션 기록
12. AI Agent,헬스 시계열 배치 저장,POST,/api/health/snapshots,완료,완료,"1분 폴링 메트릭(걸음/칼로리/심박)을 5분 단위 batch로 INSERT. Agent의 /api/agent/steps 등 윈도우 쿼리 원천 데이터. Body: {items:[{recordedAt, stepsTotal, caloriesBurned, heartRate}]}. Res 200: {inserted, skipped}. (user_id, recordedAt) 중복은 ON CONFLICT DO NOTHING 멱등.",🟡 Medium,헬스 시계열 배치 저장
12. AI Agent,schedule_followup 예약,POST,/api/agent/schedule_followup,완료,불필요,"Agent가 N분 뒤 재호출을 BE에 예약. Body: {userId, triggerType, referenceId?(meal_id 등), delayMinutes(1~1440), reason?(max 500자, LLM 판단 메모)}. Res 201: {triggerId, scheduledAt(KST)}. agent_pending_triggers INSERT만, 발화는 기존 폴러가 자동 dispatch.",🟡 Medium,schedule_followup 예약
12. AI Agent,Agent Trigger Webhook (AI측),POST,(AI) /agent/trigger,완료,불필요,"BE 트리거 룰이 발화 시점에 호출. trigger_type별로 agent 라우팅 (post_meal / wake_up / schedule_followup). 인증 없음 (내부 네트워크). Body: {user_id, trigger_type, ...payload}. Res 200: {status, ...}",🟢 Low,Agent Trigger Webhook
12. AI Agent,Agent Command Webhook 🆕,POST,(AI) /agent/command,완료,불필요,"BE AiAgentCommandClient.dispatchAsync가 호출. command_type별로 agent 라우팅 (현재 recommend_food만 구현). 인증 없음 (내부 네트워크). Body: {user_id, chat_message_id, command_type, payload}. Res 200: {status(success|fallback|error), command_type, message, turns, error} (디버그용 echo, 실 응답은 POST /api/agent/notifications로 별도 흐름). (2026-05-08 신설)",🟢 Low,Agent Command Webhook
13. 채팅,사용자 명령 발화 🆕,POST,/api/chat/messages/command,완료,필요,"음식 추천 등 사용자 명령 발송. '🍽 음식 추천' 버튼 클릭 시 호출. user 메시지 INSERT 후 즉시 201 반환, AI 호출은 비동기. 인증: JWT Bearer. Body: {commandType('recommend_food'), message?, payload?}. Res 201: ChatMessageItem (id, sender='user', commandType, message, createdAt). agent 응답은 ~15초 후 별도 FCM + chat_messages row로 도착.",🟡 Medium,사용자 명령 발화
13. 채팅,채팅 메시지 페이징 조회,GET,/api/chat/messages,완료,필요,"본인 채팅 페이징 조회 (createdAt DESC). agent/system/user sender 모두 포함. 인증: JWT Bearer. Query: ?page=0&size=20. Res 200: {content[ChatMessageItem], page, size, totalElements, unreadCount}. ChatMessageItem: {id, sender, message, messageType, commandType, displayTrace, payload, options, parentId, isRead, createdAt}.",🟡 Medium,채팅 페이징 조회
13. 채팅,옵션 응답,POST,/api/chat/messages/reply,완료,미연동,"agent 메시지 options 중 하나 선택 → user 메시지로 INSERT. 인증: JWT Bearer. Body: {parentId, optionId}. Res 201: ChatMessageItem. 400(optionId 없음), 403(parent 본인 아님). 음식 추천은 options=[]로 떨어지므로 미사용.",🟢 Low,옵션 응답
13. 채팅,단건 읽음,PATCH,/api/chat/messages/{id}/read,완료,필요,"FCM 푸시 클릭 또는 foreground에서 신착 메시지 인라인 갱신 시 호출. 인증: JWT Bearer. Path: id. Res 204.",🟡 Medium,단건 읽음
13. 채팅,일괄 읽음,POST,/api/chat/messages/mark-all-read,완료,필요,"채팅 화면 onResume 시 호출 (화면 진입 = 모두 봤다고 간주). 인증: JWT Bearer. Body 없음. Res 204.",🟡 Medium,일괄 읽음
13. 채팅,안 읽음 카운트,GET,/api/chat/messages/unread-count,완료,필요,"BottomNavBar 채팅 아이콘 배지 갱신용. 인증: JWT Bearer. Res 200: {unreadCount(long)}. 호출 시점: 부팅·FCM 수신·read 후.",🟡 Medium,안 읽음 카운트
